Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40594396,The Devil Aspect,Craig Russell,"Russell, Craig",,"=""0385544367""","=""9780385544368""",0,4.02,Doubleday Books,Hardcover,414,2019,2018,,2020/08/17,to-read,to-read (#714),to-read,,,,0,,,0,,,,,
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",0,3.75,Random House,Hardcover,343,2017,2017,,2020/03/26,"on-kobo, currently-reading, 2020, listened-to","on-kobo (#118), currently-reading (#3), 2020 (#44), listened-to (#44)",currently-reading,,,,1,,,0,,,,,
26007349,Big Little Lies,Liane Moriarty,"Moriarty, Liane",Caroline  Lee,"=""""","=""9781490627298""",3,4.27,Recorded Books,Audiobook,16,2014,2014,2020/08/14,2020/08/09,"listened-to, 2020","listened-to (#43), 2020 (#43)",read,,,,1,,,0,,,,,
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",0,4.15,Liveright,Hardcover,176,2020,2016,,2020/08/10,to-read,to-read (#713),to-read,,,,0,,,0,,,,,
5025780,Beloved,Toni Morrison,"Morrison, Toni",,"=""""","=""""",0,3.86,Vintage,Kindle Edition,291,2007,1987,,2013/09/25,to-read,to-read (#712),to-read,,,,0,,,0,,,,,
42527596,The Twisted Ones,T. Kingfisher,"Kingfisher, T.",,"=""1534429573""","=""9781534429574""",0,3.67,Gallery / Saga Press,Hardcover,381,2019,2019,,2020/08/07,to-read,to-read (#711),to-read,,,,0,,,0,,,,,
35606041,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""031618716X""","=""9780316187169""",0,4.47,Orbit,Hardcover,480,2019,2019,,2020/08/07,to-read,to-read (#710),to-read,,,,0,,,0,,,,,
41941223,Recursion,Blake Crouch,"Crouch, Blake",,"=""""","=""""",0,4.16,Crown,Kindle Edition,324,2019,2019,,2019/06/27,"book-riot-pop, currently-reading, 2020","book-riot-pop (#14), currently-reading (#2), 2020 (#42)",currently-reading,,,,1,,,0,,,,,
30134866,"Waking Gods (Themis Files, #2)",Sylvain Neuvel,"Neuvel, Sylvain",,"=""""","=""""",3,4.03,Del Rey,Kindle Edition,336,2017,2017,2020/08/03,2020/07/20,2020,2020 (#40),read,,,,1,,,0,,,,,
41061940,"Stony the Road: Reconstruction, White Supremacy, and the Rise of Jim Crow",Henry Louis Gates Jr.,"Jr., Henry Louis Gates",,"=""""","=""""",0,4.15,Penguin Press,Kindle Edition,320,2019,2019,,2020/07/29,to-read,to-read (#709),to-read,,,,0,,,0,,,,,
43301353,The Space Between Worlds,Micaiah Johnson,"Johnson, Micaiah",,"=""""","=""""",0,4.17,Crown,,336,2020,2020,,2020/08/02,"to-read, botm","to-read (#708), botm (#8)",to-read,,,,0,,,0,,,,,
213791,The Bridge of San Luis Rey,Thornton Wilder,"Wilder, Thornton",Russell Banks,"=""0060580615""","=""9780060580612""",1,3.80,Harper,Hardcover,138,2004,1927,2020/03/04,2019/07/01,"2020, dnf","2020 (#7), dnf (#5)",read,,,,1,,,0,,,,,
40696911,The House of Broken Angels,Luis Alberto Urrea,"Urrea, Luis Alberto",,"=""031615489X""","=""9780316154895""",0,3.93,Back Bay Books,Paperback,326,2019,2018,,2020/03/31,to-read,to-read (#707),to-read,,,,0,,,0,,,,,
35968998,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""""","=""""",0,4.23,Viking,Kindle Edition,528,2018,2018,,2018/09/10,to-read,to-read (#706),to-read,,,,0,,,0,,,,,
51824630,The Pull of the Stars,Emma Donoghue,"Donoghue, Emma",,"=""1443461792""","=""9781443461795""",0,4.08,HarperAvenue,ebook,304,2020,2020,,2020/07/22,to-read,to-read (#705),to-read,,,,0,,,0,,,,,
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.23,Broad Reach Publishing,Kindle Edition,509,2012,2012,,2020/07/20,to-read,to-read (#704),to-read,,,,0,,,0,,,,,
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""0765348276""","=""9780765348272""",0,4.23,Tor Books,Mass Market Paperback,355,2007,2005,,2020/07/20,to-read,to-read (#703),to-read,,,,0,,,0,,,,,
875441,Someone Knows My Name,Lawrence Hill,"Hill, Lawrence",,"=""0393065782""","=""9780393065787""",0,4.47,W.W. Norton & Company,Hardcover,489,2007,2007,,2020/07/20,to-read,to-read (#702),to-read,,,,0,,,0,,,,,
53445713,The Boy Who Saw In Colours,Lauren  Robinson,"Robinson, Lauren",,"=""""","=""9781838533540""",0,4.82,,,,2020,2020,,2020/07/20,to-read,to-read (#701),to-read,,,,0,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,4.53,Penguin Group DAW,Hardcover,662,2007,2007,,2020/07/20,to-read,to-read (#700),to-read,,,,0,,,0,,,,,
8127528,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""""","=""""",0,4.25,Penguin ,Kindle Edition,1471,2003,1844,,2020/03/26,"on-kobo, currently-reading, 2020","on-kobo (#109), currently-reading (#1), 2020 (#41)",currently-reading,,,,1,,,0,,,,,
6522033,"Voyager (Outlander, #3)",Diana Gabaldon,"Gabaldon, Diana",,"=""""","=""""",0,4.38,Dell,Kindle Edition,1072,2004,1993,,2020/03/26,"on-kobo, to-read","on-kobo (#68), to-read (#699)",to-read,,,,0,,,0,,,,,
9474333,Brooklyn Noir,Tim McLoughlin,"McLoughlin, Tim",,"=""1936070154""","=""9781936070152""",1,3.47,Akashic Books,ebook,380,2004,2004,2020/05/29,2020/05/27,"2020, dnf","2020 (#30), dnf (#4)",read,,,,1,,,0,,,,,
25430705,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,"=""1101970782""","=""9781101970782""",1,4.23,Vintage,Paperback,112,2015,1923,2020/05/30,2019/07/01,"2020, time-wasted, dnf","2020 (#31), time-wasted (#36), dnf (#3)",read,,,,1,,,0,,,,,
40130093,Once Upon a River,Diane Setterfield,"Setterfield, Diane",,"=""0743298071""","=""9780743298070""",1,3.98,Atria/Emily Bestler Books,Hardcover,464,2018,2018,2020/02/09,2019/11/20,"time-wasted, 2020, dnf","time-wasted (#35), 2020 (#10), dnf (#2)",read,,,,1,,,0,,,,,
43558961,"The City We Became (Great Cities, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",1,4.07,Orbit,Kindle Edition,464,2020,2020,2020/07/20,2020/07/14,"2020, dnf","2020 (#39), dnf (#1)",read,,,,1,,,0,,,,,
38490978,The Great Believers,Rebecca Makkai,"Makkai, Rebecca",,"=""""","=""""",0,4.21,Viking,Kindle Edition,431,2018,2018,,2019/04/16,to-read,to-read (#300),to-read,,,,0,,,0,,,,,
35068746,Census,Jesse Ball,"Ball, Jesse",,"=""0062676156""","=""9780062676153""",0,3.42,Ecco,ebook,272,2018,2018,,2020/07/16,to-read,to-read (#698),to-read,,,,0,,,0,,,,,
46277,"Green Grass, Running Water",Thomas King,"King, Thomas",,"=""0553373684""","=""9780553373684""",0,4.02,Bantam,Paperback,469,1994,1993,,2020/07/15,to-read,to-read (#697),to-read,,,,0,,,0,,,,,
168860,The Kappa Child,Hiromi Goto,"Goto, Hiromi",,"=""0889952280""","=""9780889952287""",0,3.84,Red Deer Press,Paperback,280,2001,2001,,2020/07/15,to-read,to-read (#696),to-read,,,,0,,,0,,,,,
35411685,How to Stop Time,Matt Haig,"Haig, Matt",,"=""0525522875""","=""9780525522874""",0,3.84,Viking,Hardcover,325,2018,2017,,2020/07/14,to-read,to-read (#695),to-read,,,,0,,,0,,,,,
57504,Brown Girl in the Ring,Nalo Hopkinson,"Hopkinson, Nalo",,"=""0446674338""","=""9780446674331""",0,3.86,Grand Central Publishing,Paperback,250,1998,1998,,2020/07/14,to-read,to-read (#694),to-read,,,,0,,,0,,,,,
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0062678108""","=""9780062678102""",0,4.14,Harper Voyager,Hardcover,533,2017,2017,,2020/07/14,to-read,to-read (#693),to-read,,,,0,,,0,,,,,
21020588,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""1472214811""","=""9781472214812""",0,4.26,Headline,Paperback,295,2014,1979,,2020/07/14,to-read,to-read (#692),to-read,,,,0,,,0,,,,,
28245250,The Eyes of the Dragon,Stephen King,"King, Stephen",,"=""""","=""""",0,3.93,Scribner,Kindle Edition,484,2017,1987,,2020/07/14,to-read,to-read (#691),to-read,,,,0,,,0,,,,,
5985499,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",Tim   Stevens,"=""0007299265""","=""9780007299263""",0,4.27,HarperCollins Children's Books,Paperback,302,2009,1986,,2020/07/14,to-read,to-read (#690),to-read,,,,0,,,0,,,,,
7988467,"We, the Drowned",Carsten Jensen,"Jensen, Carsten","Charlotte Barslund, Liz Jensen, Emma Ryder","=""0151013772""","=""9780151013777""",0,4.24,Houghton Mifflin Harcourt,Hardcover,678,2011,2006,,2020/07/09,to-read,to-read (#689),to-read,,,,0,,,0,,,,,
33395053,Tears We Cannot Stop: A Sermon to White America,Michael Eric Dyson,"Dyson, Michael Eric",,"=""""","=""""",3,4.32,St. Martin's Press,Kindle Edition,238,2017,2017,2020/07/09,2020/06/26,2020,2020 (#38),read,,,,1,,,0,,,,,
53117768,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0525620796""","=""9780525620792""",0,3.82,Del Rey,ebook,352,2020,2020,,2020/07/01,to-read,to-read (#688),to-read,,,,0,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",0,4.34,Doubleday Books,Hardcover,1153,1990,1978,,2020/07/08,to-read,to-read (#687),to-read,,,,0,,,0,,,,,
5664311,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""""","=""""",4,3.90,Riverhead,Kindle Edition,339,2007,2007,2020/06/25,2013/03/13,2020,2020 (#37),read,,,,1,,,0,,,,,
6992933,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,"Gabaldon, Diana",,"=""""","=""""",3,4.32,Dell,ebook,976,2004,1992,2020/07/06,2020/03/26,"on-kobo, 2020","on-kobo (#67), 2020 (#36)",read,,,,1,,,0,,,,,
50010188,The Girl with the Louding Voice,Abi Daré,"Daré, Abi",,"=""""","=""""",0,4.50,Dutton,Kindle Edition,336,2020,2020,,2020/05/23,"botm, to-read","botm (#4), to-read (#686)",to-read,,,,0,,,0,,,,,
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Perez,"Perez, Caroline Criado",Anna Sak,"=""1419729071""","=""9781419729072""",0,4.42,Harry N. Abrams,Hardcover,411,2019,2019,,2020/07/06,to-read,to-read (#685),to-read,,,,0,,,0,,,,,
33413919,"The Vanderbeekers of 141st Street (The Vanderbeekers, #1)",Karina Yan Glaser,"Glaser, Karina Yan",,"=""0544876393""","=""9780544876392""",0,4.24,Houghton Mifflin Harcourt,Hardcover,297,2017,2017,,2020/07/06,to-read,to-read (#684),to-read,,,,0,,,0,,,,,
48842144,The Shadows,Alex North,"North, Alex",,"=""1250318033""","=""9781250318039""",0,3.80,Celadon Books,Hardcover,336,2020,2020,,2020/07/01,"to-read, botm","to-read (#683), botm (#7)",to-read,,,,0,,,0,,,,,
29440984,The View from the Cheap Seats: Selected Nonfiction,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,3.97,William Morrow,Kindle Edition,549,2016,2016,,2020/03/17,"on-kobo, to-read","on-kobo (#52), to-read (#682)",to-read,,,,0,,,0,,,,,
36266437,Franny and Zooey,J.D. Salinger,"Salinger, J.D.",,"=""""","=""""",0,3.98,,Kindle Edition,216,2017,1955,,2020/06/26,to-read,to-read (#681),to-read,,,,0,,,0,,,,,
40042041,The Library of Legends,Janie Chang,"Chang, Janie",,"=""0062851519""","=""9780062851512""",0,3.84,William Morrow Paperbacks,ebook,400,2020,2020,,2020/05/23,"botm, to-read","botm (#2), to-read (#680)",to-read,,,,0,,,0,,,,,
22500611,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,"Gaiman, Neil",,"=""0062330292""","=""9780062330291""",0,3.92,William Morrow,ebook,368,2015,2015,,2020/06/20,to-read,to-read (#679),to-read,,,,0,,,0,,,,,
24388286,"Library of Souls (Miss Peregrine's Peculiar Children, #3)",Ransom Riggs,"Riggs, Ransom",,"=""1594747784""","=""9781594747786""",0,4.14,Quirk Books,ebook,464,2015,2015,,2020/03/16,"on-kobo, to-read","on-kobo (#30), to-read (#678)",to-read,,,,0,,,0,,,,,
870269,Tess of the d'Urbervilles,Thomas Hardy,"Hardy, Thomas",Robert B. Heilman,"=""""","=""""",3,3.80,Bantam Classics,Paperback,448,1984,1891,2019/05/16,2013/10/10,2019,2019 (#3),read,,,,1,,,0,,,,,
19833796,Nobody Knows My Name,James Baldwin,"Baldwin, James","Richard Wright, Norman Mailer","=""""","=""""",3,4.35,Vintage,Kindle Edition,204,2013,1961,2019/07/15,2019/04/19,2019,2019 (#17),read,,,,1,,,0,,,,,
614959,Me Talk Pretty One Day,David Sedaris,"Sedaris, David",,"=""1586210661""","=""9781586210663""",4,3.99,Grand Central Publishing,Audio CD,6,2001,2000,,2018/02/10,"2018, listened-to","2018 (#3), listened-to (#21)",read,,,,1,,,0,,,,,
1032647,The Humane Society of the United States Complete Guide to Cat Care,Wendy Christensen,"Christensen, Wendy",The Humane Society of the United States,"=""0312326084""","=""9780312326081""",2,3.57,St. Martin's Griffin,Paperback,336,2004,2002,2017/11/27,2017/08/30,2017,2017 (#3),read,,,,1,,,0,,,,,
33395538,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""""","=""""",4,4.08,W. W. Norton & Company,Kindle Edition,222,2017,2017,2017/12/09,2017/11/27,2017,2017 (#1),read,,,,1,,,0,,,,,
25110845,Dear Mr. You,Mary-Louise Parker,"Parker, Mary-Louise",,"=""1442388366""","=""9781442388369""",4,3.80,Simon  Schuster Audio,Audiobook,,2015,2015,2016/02/04,2016/01/27,"listened-to, 2016","listened-to (#8), 2016 (#8)",read,,,,1,,,0,,,,,
13689191,Stem Cells: A Very Short Introduction,Jonathan Slack,"Slack, Jonathan",,"=""0199603383""","=""9780199603381""",3,3.86,"Oxford University Press, USA",Paperback,130,2012,2012,2016/02/03,2016/02/01,2016,2016 (#9),read,,,,1,,,0,,,,,
17810,In the Miso Soup,Ryū Murakami,"Murakami, Ryū",Ralph McCarthy,"=""""","=""9780143035695""",4,3.59,Penguin,Paperback,217,2006,1997,2016/09/30,2014/12/18,2016,2016 (#21),read,,,,1,,,0,,,,,
23848124,A Wild Swan: And Other Tales,Michael Cunningham,"Cunningham, Michael",Yuko Shimizu,"=""0374290253""","=""9780374290252""",4,3.66,"Farrar, Straus and Giroux",Hardcover,134,2015,2015,2016/03/10,2016/03/10,2016,2016 (#5),read,,,,1,,,0,,,,,
36145713,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""""","=""""",4,4.23,Dell,Kindle Edition,850,2004,1991,2020/06/18,2020/03/26,"on-kobo, 2020","on-kobo (#66), 2020 (#35)",read,,,,1,,,0,,,,,
7034452,Nightmares and Dreamscapes,Stephen King,"King, Stephen",,"=""1439163618""","=""9781439163610""",0,3.94,Pocket Books,ebook,912,2009,1993,,2020/03/26,"on-kobo, to-read","on-kobo (#121), to-read (#677)",to-read,,,,0,,,0,,,,,
19073499,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""""","=""""",4,4.51,Vintage,Kindle Edition,128,2013,1963,2020/06/14,2020/06/11,2020,2020 (#34),read,,,,1,,,0,,,,,
11249827,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""""","=""""",0,4.06,Bloomsbury Childrens,Kindle Edition,212,2009,2002,,2020/05/09,"listened-to, to-read","listened-to (#42), to-read (#676)",to-read,,,,0,,,0,,,,,
20133547,A Storm of Swords,George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.54,Random House,Audio CD,,2012,2000,2015/05/04,2012/04/21,to-read,to-read (#675),to-read,,,,1,,,0,,,,,
31246890,Chemistry: A Molecular Approach [with MasteringChemistry & eText Access Code],Nivaldo J. Tro,"Tro, Nivaldo J.",,"=""0134103971""","=""9780134103976""",4,3.65,Pearson,Hardcover,1184,2016,1904,2018/04/18,2017/12/16,,,read,,,,1,,,0,,,,,
24870089,"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,"Lagercrantz, David","Simon Vance, George Goulding, Stieg Larsson","=""""","=""""",4,3.77,Random House Audio,Audible Audio,14,2015,2015,2018/03/25,2018/03/15,"2018, listened-to","2018 (#9), listened-to (#25)",read,,,,1,,,0,,,,,
3323057,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg","Reg Keeland, Simon Vance","=""0739370642""","=""9780739370643""",4,4.14,Random House Audio,Audio CD,0,2008,2005,2018/03/04,2012/04/26,"2018, listened-to","2018 (#5), listened-to (#23)",read,,,,1,,,0,,,,,
6695192,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg","Simon Vance, Reg Keeland","=""0739384198""","=""9780739384190""",4,4.22,Random House Audio,Audio CD,21,2010,2007,2018/03/15,2018/03/09,2018,2018 (#8),read,,,,1,,,0,,,,,
5995404,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",Simon Vance,"=""0739384171""","=""9780739384176""",4,4.24,Random House Audio,Audio CD,15,2009,2006,2018/03/09,2018/03/04,"2018, listened-to","2018 (#7), listened-to (#24)",read,,,,1,,,0,,,,,
30753641,The Tea Girl of Hummingbird Lane,Lisa See,"See, Lisa","Ruthie Ann Miles, Kimiko Glenn","=""1508226539""","=""9781508226536""",4,4.25,Simon  Schuster Audio,Audio CD,15,2017,2017,2018/01/19,2018/01/01,2018,2018 (#1),read,,,,2,,,0,,,,,
9051370,The Colossus of New York,Colson Whitehead,"Whitehead, Colson",,"=""0307428281""","=""9780307428288""",3,3.72,Anchor,ebook,176,2007,2003,2020/06/12,2020/05/24,2020,2020 (#33),read,,,,1,,,0,,,,,
15811545,A Tale for the Time Being,Ruth Ozeki,"Ozeki, Ruth",,"=""0670026638""","=""9780670026630""",0,4.01,Viking,Hardcover,422,2013,2013,,2020/06/08,to-read,to-read (#674),to-read,,,,0,,,0,,,,,
50045075,The Knockout Queen,Rufi Thorpe,"Thorpe, Rufi",,"=""""","=""""",4,3.72,Knopf,Kindle Edition,288,2020,2020,2020/06/06,2020/05/14,"botm, 2020","botm (#1), 2020 (#32)",read,,,,1,,,0,,,,,
18896762,The 19th Wife,David Ebershoff,"Ebershoff, David",,"=""""","=""""",0,3.64,Random House Trade Paperbacks,Kindle Edition,530,2012,2008,,2020/04/11,"states, to-read","states (#42), to-read (#673)",to-read,,,,0,,,0,,,,,
292250,The People Could Fly: American Black Folktales,Virginia Hamilton,"Hamilton, Virginia","Leo Dillon, Diane Dillon, James Earl Jones","=""0375804714""","=""9780375804717""",0,4.25,Knopf Books for Young Readers,Hardcover,192,2000,1985,,2020/06/04,to-read,to-read (#672),to-read,,,,0,,,0,,,,,
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",0,4.39,Riverhead Books,Hardcover,343,2020,2020,,2020/06/02,"botm, to-read","botm (#6), to-read (#671)",to-read,,,,0,,,0,,,,,
6569745,The Thing Around Your Neck,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",4,4.23,Knopf,Kindle Edition,240,2009,2008,2020/05/30,2020/05/18,2020,2020 (#29),read,,,,1,,,0,,,,,
49501467,Tightrope: Americans Reaching for Hope,Nicholas D Kristof,"Kristof, Nicholas D",Sheryl WuDunn,"=""""","=""""",2,4.30,Knopf,Kindle Edition,320,2020,2020,2020/05/29,2020/05/23,"botm, 2020","botm (#5), 2020 (#28)",read,,,,1,,,0,,,,,
25853398,Up in the Old Hotel,Joseph Mitchell,"Mitchell, Joseph",David Remnick,"=""""","=""""",0,4.33,Vintage,Kindle Edition,736,2015,1992,,2020/02/10,to-read,to-read (#670),to-read,,,,0,,,0,,,,,
10856732,The Day of the Triffids,John Wyndham,"Wyndham, John",,"=""""","=""""",4,4.02,RosettaBooks,Kindle Edition,256,2010,1951,2020/05/23,2019/07/01,2020,2020 (#27),read,,,,1,,,0,,,,,
45289222,Writers & Lovers,Lily King,"King, Lily",,"=""""","=""""",0,4.11,Grove Press,Hardcover,320,2020,2020,,2020/05/23,"to-read, botm","to-read (#669), botm (#3)",to-read,,,,0,,,0,,,,,
99245,Nightfall,Isaac Asimov,"Asimov, Isaac",Robert Silverberg,"=""0553290991""","=""9780553290998""",0,4.05,Bantam Books,Paperback,339,2012,1990,,2020/05/22,to-read,to-read (#668),to-read,,,,0,,,0,,,,,
941731,The Death of Grass,John Christopher,"Christopher, John",,"=""0722122977""","=""9780722122976""",0,3.88,Sphere (London),Paperback,222,1982,1956,,2020/05/22,to-read,to-read (#667),to-read,,,,0,,,0,,,,,
100365,"The Mote in God's Eye (Moties, #1)",Larry Niven,"Niven, Larry",Jerry Pournelle,"=""156865054X""","=""9781568650548""",0,4.08,Spectrum Literary Agency,ebook,596,2011,1974,,2020/05/22,to-read,to-read (#666),to-read,,,,0,,,0,,,,,
7496086,Data Structures and Other Objects Using C++,Michael G. Main,"Main, Michael G.",Walter J. Savitch,"=""0132129485""","=""9780132129480""",2,3.47,Pearson,Paperback,818,2010,1996,2020/05/20,2020/05/20,2020,2020 (#26),read,,,,1,,,0,,,,,
30423224,Introduction to Linear Algebra,Gilbert Strang,"Strang, Gilbert",,"=""0980232775""","=""9780980232776""",4,4.23,Wellesley College,Hardcover,600,2016,1993,2020/05/20,2020/05/20,2020,2020 (#25),read,,,,1,,,0,,,,,
43811212,Quichotte,Salman Rushdie,"Rushdie, Salman",,"=""178733192X""","=""9781787331921""",0,3.83,Jonathan Cape,Paperback,393,2019,2019,,2020/05/22,to-read,to-read (#665),to-read,,,,0,,,0,,,,,
18528190,Men Explain Things to Me,Rebecca Solnit,"Solnit, Rebecca",,"=""1608463869""","=""9781608463862""",0,3.89,Haymarket Books,Paperback,130,2014,2014,,2020/05/21,to-read,to-read (#664),to-read,,,,0,,,0,,,,,
8897134,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",Roy Dotrice,"=""0307913090""","=""9780307913098""",4,4.45,Random House Audio,Audio CD,34,2011,1996,2020/04/15,2010/10/14,"listened-to, 2020","listened-to (#40), 2020 (#19)",read,,,,2,,,0,,,,,
8148717,A Clash of Kings (A Song of Ice and Fire #2),George R.R. Martin,"Martin, George R.R.",Roy Dotrice,"=""1415902003""","=""9781415902004""",4,4.41,Random House Audio,Audiobook,38,2003,1998,2020/05/17,2020/04/15,"listened-to, 2020","listened-to (#41), 2020 (#21)",read,,,,1,,,0,,,,,
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",5,4.07,Vintage,Paperback,343,1994,1965,2017/06/22,2012/12/12,"2017, favorites","2017 (#6), favorites (#5)",read,,,,2,,,0,,,,,
16977364,Troll Bridge (Discworld #16.5),Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.08,http://loki.ovh.org/,ebook,11,1992,1992,2020/05/15,2020/05/11,2020,2020 (#24),read,,,,1,,,0,,,,,
7061953,"Eric (Discworld, #9)",Terry Pratchett,"Pratchett, Terry",,"=""0061440450""","=""9780061440458""",4,3.75,HarperCollins Publishers,ebook,224,2007,1990,2020/05/15,2020/05/05,2020,2020 (#23),read,,,,1,,,0,,,,,
7061954,"Sourcery (Discworld, #5)",Terry Pratchett,"Pratchett, Terry",,"=""0061367788""","=""9780061367786""",3,3.89,HarperCollins Publishers,ebook,288,2007,1988,2020/05/14,2019/11/10,2020,2020 (#22),read,,,,1,,,0,,,,,
52703177,The Bright Lands,John Fram,"Fram, John",,"=""1335836624""","=""9781335836625""",0,3.76,Hanover Square Press,Hardcover,480,2020,2020,,2020/05/13,to-read,to-read (#663),to-read,,,,0,,,0,,,,,
42283286,Summer of '69,Elin Hilderbrand,"Hilderbrand, Elin",,"=""0316420018""","=""9780316420013""",0,3.97,"Little, Brown and Company",Hardcover,432,2019,2019,,2020/05/12,to-read,to-read (#662),to-read,,,,0,,,0,,,,,
51780160,These Ghosts Are Family,Maisy Card,"Card, Maisy",,"=""1982117435""","=""9781982117436""",0,3.71,Simon  Schuster,Hardcover,271,2020,2020,,2020/05/12,to-read,to-read (#661),to-read,,,,0,,,0,,,,,
51220325,Conjure Women,Afia Atakora,"Atakora, Afia",,"=""0525511482""","=""9780525511489""",0,3.98,Random House,Hardcover,416,2020,2020,,2020/05/12,to-read,to-read (#660),to-read,,,,0,,,0,,,,,
53025903,The Book of Lost Friends,Lisa Wingate,"Wingate, Lisa",,"=""1984819887""","=""9781984819888""",0,4.24,Ballantine Books,Hardcover,388,2020,2020,,2020/05/12,to-read,to-read (#659),to-read,,,,0,,,0,,,,,
46138193,The Mercies,Kiran Millwood Hargrave,"Hargrave, Kiran Millwood",,"=""0316529257""","=""9780316529259""",0,4.04,"Little, Brown and Company",Hardcover,336,2020,2020,,2020/05/12,to-read,to-read (#658),to-read,,,,0,,,0,,,,,
45895362,How Much of These Hills Is Gold,C Pam Zhang,"Zhang, C Pam",,"=""0525537201""","=""9780525537205""",0,3.89,Riverhead Books,Hardcover,288,2020,2020,,2020/05/12,to-read,to-read (#657),to-read,,,,0,,,0,,,,,
43721059,The Night Watchman,Louise Erdrich,"Erdrich, Louise",,"=""0062671200""","=""9780062671202""",0,4.19,HarperCollins,ebook,464,2020,2020,,2020/05/12,to-read,to-read (#656),to-read,,,,0,,,0,,,,,
40245130,Lost Children Archive,Valeria Luiselli,"Luiselli, Valeria",,"=""0525520619""","=""9780525520610""",0,3.85,Knopf Publishing Group,Hardcover,385,2019,2019,,2019/12/24,"to-read, book-riot-pop","to-read (#399), book-riot-pop (#16)",to-read,,,,0,,,0,,,,,
34851317,The Other Americans,Laila Lalami,"Lalami, Laila",,"=""""","=""""",0,3.94,Pantheon,,301,2019,2019,,2019/10/08,"to-read, book-riot-pop","to-read (#358), book-riot-pop (#15)",to-read,,,,0,,,0,,,,,
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.05,Penguin Press,Hardcover,246,2019,2019,,2020/01/04,"to-read, book-riot-pop","to-read (#410), book-riot-pop (#13)",to-read,,,,0,,,0,,,,,
41160292,Exhalation: Stories,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.28,Knopf,Kindle Edition,352,2019,2019,,2019/12/05,"to-read, book-riot-pop","to-read (#416), book-riot-pop (#12)",to-read,,,,0,,,0,,,,,
34563821,Disappearing Earth,Julia  Phillips,"Phillips, Julia",,"=""""","=""""",0,3.90,Knopf,Hardcover,312,2019,2019,,2019/10/08,"to-read, book-riot-pop","to-read (#359), book-riot-pop (#11)",to-read,,,,0,,,0,,,,,
