Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17354948,"Capitalist Globalization: Consequences, Resistance, and Alternatives",Martin Hart-Landsberg,"Hart-Landsberg, Martin",,"=""1583673520""","=""9781583673522""",2,3.75,Monthly Review Press,Paperback,208,2013,2013,2014/05/30,2014/04/21,ba,ba (#19),read,,,,1,,,0,,,,,
11241644,Prosperity for All: Consumer Activism in an Era of Globalization,Matthew  Hilton,"Hilton, Matthew",,"=""0801475074""","=""9780801475078""",2,2.00,Cornell University Press,Paperback,315,2009,2008,2014/05/30,2014/05/06,ba,ba (#26),read,,,,1,,,0,,,,,
14317927,"Media, History, Society: A Cultural History of U.S. Media",Janet M. Cramer,"Cramer, Janet M.",,"=""1405161191""","=""9781405161190""",3,2.50,Wiley-Blackwell,Hardcover,280,2009,2009,2014/05/26,2014/05/05,ba,ba (#24),read,,,,1,,,0,,,,,
353269,Alternative and Activist Media,Mitzi Waltz,"Waltz, Mitzi",,"=""0748619585""","=""9780748619580""",1,2.71,Edinburgh University Press,Paperback,149,2005,2005,2014/05/26,2014/03/19,ba,ba (#15),read,,,,1,,,0,,,,,
667893,Changing Anarchism: Anarchist Theory and Practice in a Global Age,Jonathan Purkis,"Purkis, Jonathan","James  Bowen, Jamie Vishwam Heckert","=""0719066948""","=""9780719066948""",2,3.22,Manchester University Press,Hardcover,256,2005,2004,2014/05/24,2014/05/17,ba,ba (#33),read,,,,1,,,0,,,,,
2052871,The Hacker Ethic: and the Spirit of the Information Age,Pekka Himanen,"Himanen, Pekka","Manuel Castells, Linus Torvalds","=""0375505660""","=""9780375505669""",1,3.83,Random House,Hardcover,256,2001,1999,2014/05/17,2014/05/17,ba,ba (#32),read,,,,1,,,0,,,,,
1968470,Unamerican Activities: The Campaign Against the Underground Press,Geoffrey Rips,"Rips, Geoffrey",,"=""0872861279""","=""9780872861275""",2,3.75,City Lights Books,Paperback,176,1981,1981,2014/05/17,2014/05/16,ba,ba (#31),read,,,,1,,,0,,,,,
1777724,What Good Is Journalism?: How Reporters and Editors Are Saving America's Way of Life,George Kennedy,"Kennedy, George",George Kennedy,"=""0826217311""","=""9780826217318""",3,3.69,University of Missouri,Paperback,184,2007,2007,2014/05/15,2014/05/12,ba,ba (#29),read,,,,1,,,0,,,,,
688540,America,Jean Baudrillard,"Baudrillard, Jean",,"=""0860919781""","=""9780860919780""",4,3.90,Verso,Paperback,200,1989,1986,2014/05/11,2014/02/09,time-wasted,time-wasted (#25),read,,,,1,,,0,,,,,
6179463,"Big Media, Big Money: Cultural Texts and Political Economics",Ronald V. Bettig,"Bettig, Ronald V.",Jeanne Lynn Hall,"=""0742511308""","=""9780742511309""",4,3.12,Rowman & Littlefield Publishers,Paperback,192,2002,2002,2014/05/10,2014/05/10,ba,ba (#28),read,,,,1,,,0,,,,,
